Fold,Training score,Testing score,Method,q
5,52.29419703103913,51.888957662912816,Node2vec+,5.0
6,52.47163492777528,51.88436337860639,Node2vec+,5.0
7,53.05892937471884,51.9173816416438,Node2vec+,5.0
8,52.60908681961314,51.87421556381966,Node2vec+,5.0
9,52.31419003348828,51.929094542293164,Node2vec+,5.0
0,55.802968960863694,55.21776907612477,Node2vec,0.01
1,55.89543659719099,55.26313132282067,Node2vec,0.01
2,55.98290598290598,55.19752393319204,Node2vec,0.01
3,55.67301444494427,55.20704066496964,Node2vec,0.01
4,56.222822012295694,55.236095726709756,Node2vec,0.01
5,55.690508322087275,55.19818025952152,Node2vec,0.01
6,55.81296546208827,55.217491399600746,Node2vec,0.01
7,56.31029139801069,55.226023641884126,Node2vec,0.01
8,56.12535612535613,55.26560516821644,Node2vec,0.01
9,55.67801269555655,55.252226208423,Node2vec,0.01
0,55.79797071025141,55.084130938112466,Node2vec,0.05
1,55.787974209026835,55.081379416192675,Node2vec,0.05
2,55.932923476783124,55.01173309530565,Node2vec,0.05
3,55.72549607637327,55.07277144394822,Node2vec,0.05
4,56.165342130254416,55.099504120214746,Node2vec,0.05
5,55.71300044984255,55.06494601463506,Node2vec,0.05
6,55.63302844004598,55.07675988856589,Node2vec,0.05
7,56.22032288698955,55.11616471165565,Node2vec,0.05
8,55.80046983555755,55.08978544187423,Node2vec,0.05
9,55.578047683310835,55.12103667248609,Node2vec,0.05
0,55.62303193882141,54.86701313965312,Node2vec,0.1
1,55.52806517718798,54.914622041861506,Node2vec,0.1
2,55.49807567351427,54.83909402732942,Node2vec,0.1
3,55.67301444494427,54.873248239783265,Node2vec,0.1
4,55.72299695106713,54.86978990489326,Node2vec,0.1
5,55.403108911880835,54.83669591189475,Node2vec,0.1
6,55.63052931473984,54.8797862597578,Node2vec,0.1
7,56.01539461188584,54.892105000095924,Node2vec,0.1
8,55.82296196331284,54.89682550100417,Node2vec,0.1
9,55.188184135552554,54.87471235236444,Node2vec,0.1
0,54.440945669015846,53.78276204333571,Node2vec,0.5
1,54.62588094167041,53.820904700407226,Node2vec,0.5
2,54.6308791922827,53.76398101298415,Node2vec,0.5
3,54.480931673914135,53.78455431908162,Node2vec,0.5
4,54.70585295146698,53.79571186668296,Node2vec,0.5
5,54.408457040035984,53.77529002050767,Node2vec,0.5
6,54.785824961263565,53.77266471518971,Node2vec,0.5
7,55.02574099065327,53.81749685215795,Node2vec,0.5
8,54.770830209426705,53.81444241039378,Node2vec,0.5
9,54.32848503023941,53.78465529236309,Node2vec,0.5
0,51.12960463837657,50.46127119302961,Node2vec,100.0
1,51.11960813715199,50.46730434659684,Node2vec,100.0
2,51.19708102164242,50.49204280055455,Node2vec,100.0
3,51.29704603388814,50.39950078809646,Node2vec,100.0
4,51.87934223021943,50.445645577723674,Node2vec,100.0
5,50.717248962862996,50.43433657020016,Node2vec,100.0
6,50.912180736742144,50.434841436607456,Node2vec,100.0
7,51.43949617633828,50.48247558213621,Node2vec,100.0
8,51.312040785725,50.41949349782554,Node2vec,100.0
9,50.957164992252714,50.43986485736009,Node2vec,100.0
0,51.347028540010996,50.73675154817284,Node2vec,10.0
1,51.42200229919528,50.74899455854987,Node2vec,10.0
2,51.45699005348128,50.75108975414015,Node2vec,10.0
3,51.74438946368771,50.70277403896155,Node2vec,10.0
4,51.791872844504425,50.7167335951234,Node2vec,10.0
5,50.95966411755886,50.68457360497839,Node2vec,10.0
6,51.23456790123457,50.73246018371079,Node2vec,10.0
7,51.576948068176144,50.770577597461944,Node2vec,10.0
8,51.50697255960414,50.717440408093616,Node2vec,10.0
9,51.177088019193285,50.74316335154555,Node2vec,10.0
0,53.663717698805414,52.9872188020328,Node2vec,1.0
1,53.60373869145799,52.98353327725951,Node2vec,1.0
2,53.848652971459984,52.99751807674171,Node2vec,1.0
3,53.86364772329685,52.972552432900734,Node2vec,1.0
4,54.07857249962513,53.01670300021911,Node2vec,1.0
5,53.5987404408457,52.962025968308524,Node2vec,1.0
6,53.56875093717199,52.994261688414625,Node2vec,1.0
7,54.09856550207427,53.02452842953226,Node2vec,1.0
8,53.921127605338135,53.007236755082246,Node2vec,1.0
9,53.566251811865854,53.032555805408336,Node2vec,1.0
0,51.194581896336274,50.404196045684344,Node2vec,50.0
1,51.037137002049285,50.422674156191526,Node2vec,50.0
2,51.402009296746144,50.380240134657974,Node2vec,50.0
3,51.222072274703855,50.32823889470607,Node2vec,50.0
4,51.54695856450242,50.386626694710316,Node2vec,50.0
5,50.81721397510871,50.28878358497558,Node2vec,50.0
6,50.76473234367971,50.366558255020145,Node2vec,50.0
7,51.434497925726,50.431534561639644,Node2vec,50.0
8,51.26455740490828,50.368501990688245,Node2vec,50.0
9,50.67726295796471,50.36509414243897,Node2vec,50.0
0,51.77437896736142,51.22197865222884,Node2vec,5.0
1,51.79437196981057,51.202036429140485,Node2vec,5.0
2,52.096766131853855,51.230233217988186,Node2vec,5.0
3,51.871844854300996,51.182750532381625,Node2vec,5.0
4,52.40665766981556,51.25840476351553,Node2vec,5.0
5,51.88933873144399,51.154730446776476,Node2vec,5.0
6,51.929324736342274,51.19933539386143,Node2vec,5.0
7,52.64657369920528,51.24467239723697,Node2vec,5.0
8,51.89933523266856,51.18941476895799,Node2vec,5.0
9,51.51446993552257,51.2315963572879,Node2vec,5.0
