Fold,Training score,Testing score,Method,q
0,53.721197580846706,53.368847319310845,Node2vec+,0.01
1,53.9311241065627,53.367837586496236,Node2vec+,0.01
2,53.9661118608487,53.38644191360524,Node2vec+,0.01
3,54.081071624931276,53.26943912371347,Node2vec+,0.01
4,54.3684710351377,53.32568124148669,Node2vec+,0.01
5,53.82865996901085,53.33827765834882,Node2vec+,0.01
6,53.7736792122757,53.28054618467407,Node2vec+,0.01
7,54.32098765432099,53.348501203096646,Node2vec+,0.01
8,54.22352176738142,53.34726428039877,Node2vec+,0.01
9,53.766181836357276,53.36006264382382,Node2vec+,0.01
0,54.41845354126056,54.02143763738677,Node2vec+,0.05
1,54.71085120207927,54.0452925751317,Node2vec+,0.05
2,54.86829609636628,54.04244007993045,Node2vec+,0.05
3,54.77582846003899,53.99354376838345,Node2vec+,0.05
4,54.88079172289698,54.01994828148524,Node2vec+,0.05
5,54.43344829309742,54.02762225087619,Node2vec+,0.05
6,54.66086869595641,53.97362678861547,Node2vec+,0.05
7,55.035737491877846,54.030247556194155,Node2vec+,0.05
8,54.79332233718198,53.97539382104102,Node2vec+,0.05
9,54.618383565751984,53.97019369704582,Node2vec+,0.05
0,54.49592642575099,53.94260274788688,Node2vec+,0.1
1,54.48592992452641,54.03198934529934,Node2vec+,0.1
2,54.708352076773124,53.94679313906747,Node2vec+,0.1
3,54.81331533963113,53.924074150738974,Node2vec+,0.1
4,54.92577597840756,53.9356608347865,Node2vec+,0.1
5,54.37097016044385,53.95807690327062,Node2vec+,0.1
6,54.5958914379967,53.958707986279755,Node2vec+,0.1
7,54.80081971310041,54.001444927657694,Node2vec+,0.1
8,54.58839406207827,53.957874956707705,Node2vec+,0.1
9,54.45843954615884,53.96320129730472,Node2vec+,0.1
0,53.90113460288899,53.334945540060644,Node2vec+,0.5
1,54.04858299595142,53.35541787287666,Node2vec+,0.5
2,54.233518268605984,53.3023816567898,Node2vec+,0.5
3,54.1235567551357,53.35140418493862,Node2vec+,0.5
4,54.41095616534213,53.37647080206107,Node2vec+,0.5
5,53.9661118608487,53.32575697144778,Node2vec+,0.5
6,54.20102963962613,53.329997849269105,Node2vec+,0.5
7,54.25101214574899,53.40820165575987,Node2vec+,0.5
8,54.183535762483125,53.357361608544764,Node2vec+,0.5
9,53.98610486329785,53.411458044086956,Node2vec+,0.5
0,52.131753886139855,51.23730134769039,Node2vec+,100.0
1,52.03428799920028,51.23760426753476,Node2vec+,100.0
2,52.261708402059284,51.267113709041446,Node2vec+,100.0
3,52.12425651022142,51.20794336610589,Node2vec+,100.0
4,52.241715399610136,51.24439472071295,Node2vec+,100.0
5,51.51696906082871,51.18754676325098,Node2vec+,100.0
6,51.78937371919828,51.279104286214825,Node2vec+,100.0
7,52.35917428899886,51.287283122013086,Node2vec+,100.0
8,52.01929324736342,51.23030894794929,Node2vec+,100.0
9,51.746888588993855,51.25719308413801,Node2vec+,100.0
0,52.13675213675214,51.51419532877405,Node2vec+,10.0
1,52.226720647773284,51.47426039595663,Node2vec+,10.0
2,52.104263507772274,51.487538382468614,Node2vec+,10.0
3,52.301694406957566,51.457927967680476,Node2vec+,10.0
4,52.56660168940871,51.50356789090039,Node2vec+,10.0
5,51.956815114709855,51.42809036300905,Node2vec+,10.0
6,52.18423551756886,51.44568495730345,Node2vec+,10.0
7,52.45164192532613,51.56281396379704,Node2vec+,10.0
8,52.33168391063128,51.49286472306564,Node2vec+,10.0
9,51.856850102464136,51.51707306729566,Node2vec+,10.0
0,53.68121157594842,53.04325897324309,Node2vec+,1.0
1,53.97610836207327,53.03591316701688,Node2vec+,1.0
2,53.96361273554257,52.989364484263824,Node2vec+,1.0
3,53.766181836357276,52.99446363497755,Node2vec+,1.0
4,54.08856900084971,53.06448860567006,Node2vec+,1.0
5,53.50877192982456,53.01347185521239,Node2vec+,1.0
6,53.59624131553956,53.032883968573074,Node2vec+,1.0
7,54.18853401309541,53.08284049957541,Node2vec+,1.0
8,53.831159094316995,53.042930810078346,Node2vec+,1.0
9,53.696206327785276,53.029627580245986,Node2vec+,1.0
0,51.71939821062628,51.13900385818908,Node2vec+,50.0
1,51.87434397960714,51.11631011318095,Node2vec+,50.0
2,52.104263507772274,51.138347531859594,Node2vec+,50.0
3,51.75688509021842,51.018719436649874,Node2vec+,50.0
4,52.291697905732995,51.11979369139132,Node2vec+,50.0
5,51.544459439196274,51.031921693200765,Node2vec+,50.0
6,51.68191133103414,51.10744970773283,Node2vec+,50.0
7,52.381666416754136,51.1988557707745,Node2vec+,50.0
8,51.91432998450543,51.13034539930389,Node2vec+,50.0
9,51.51696906082871,51.101467040806334,Node2vec+,50.0
0,52.35417603838657,51.91351941362796,Node2vec+,5.0
1,52.69405708002199,51.89186064475479,Node2vec+,5.0
2,52.82401159594142,51.92220311583352,Node2vec+,5.0
3,52.72654570900185,51.87911276797047,Node2vec+,5.0
4,52.871494976758136,51.887922686777856,Node2vec+,5.0
