Training score,Testing score,Network,Method,q
87.80699219878649,87.11239122441475,ProductLite,Node2vec+,0.01
88.64490031782721,86.84333397533544,ProductLite,Node2vec+,0.01
89.39612828662237,86.9224169628631,ProductLite,Node2vec+,0.01
88.78936723490321,86.94021793053537,ProductLite,Node2vec+,0.01
88.41375325050564,86.97202621703173,ProductLite,Node2vec+,0.01
88.38485986709044,86.97436077016908,ProductLite,Node2vec+,0.01
89.45391505345276,86.7549127752584,ProductLite,Node2vec+,0.01
88.904940768564,87.03476733259795,ProductLite,Node2vec+,0.01
88.09592603293845,87.08933751218345,ProductLite,Node2vec+,0.01
88.12481941635365,86.95218251536427,ProductLite,Node2vec+,0.01
88.12481941635365,87.11239122441475,ProductLite,Node2vec+,0.01
89.0205143022248,86.89877961234745,ProductLite,Node2vec+,0.01
88.904940768564,86.81940480567764,ProductLite,Node2vec+,0.01
88.9627275353944,86.97669532330643,ProductLite,Node2vec+,0.01
88.9338341519792,86.99507992926304,ProductLite,Node2vec+,0.01
88.15371279976885,86.85529856016436,ProductLite,Node2vec+,0.01
88.78936723490321,86.62505325699344,ProductLite,Node2vec+,0.01
88.35596648367525,86.86230221957639,ProductLite,Node2vec+,0.01
87.86477896561688,87.17571597826532,ProductLite,Node2vec+,0.01
88.67379370124242,86.94897250480042,ProductLite,Node2vec+,0.01
87.92256573244727,86.99595538668954,ProductLite,Node2vec+,0.01
88.64490031782721,86.91453784602456,ProductLite,Node2vec+,0.01
88.87604738514881,86.98865990813533,ProductLite,Node2vec+,0.01
89.68506212077433,87.13953040463642,ProductLite,Node2vec+,0.01
88.9338341519792,86.91920695229925,ProductLite,Node2vec+,0.01
87.4313782143889,86.86784678327759,ProductLite,Node2vec+,0.01
89.71395550418954,86.769795551509,ProductLite,Node2vec+,0.01
88.18260618318405,87.01755000321,ProductLite,Node2vec+,0.01
88.67379370124242,87.16521048914726,ProductLite,Node2vec+,0.01
88.70268708465761,87.01200543950881,ProductLite,Node2vec+,0.01
87.46027159780411,87.178634169687,ProductLite,Node2vec+,0.01
90.03178272175671,86.8900250380824,ProductLite,Node2vec+,0.01
88.21149956659924,86.78876379574994,ProductLite,Node2vec+,0.01
88.84715400173361,86.96239618534017,ProductLite,Node2vec+,0.01
88.99162091880959,86.81006659312824,ProductLite,Node2vec+,0.01
88.24039295001444,86.85646583673302,ProductLite,Node2vec+,0.01
89.13608783588558,86.66736703260787,ProductLite,Node2vec+,0.01
88.67379370124242,86.99216173784136,ProductLite,Node2vec+,0.01
88.29817971684484,86.9696916638944,ProductLite,Node2vec+,0.01
88.09592603293845,86.7271899567524,ProductLite,Node2vec+,0.01
88.38485986709044,87.09838390559067,ProductLite,Node2vec+,0.01
89.0205143022248,86.9501397813691,ProductLite,Node2vec+,0.01
88.78936723490321,86.94488703681007,ProductLite,Node2vec+,0.01
89.28055475296158,87.04323008772083,ProductLite,Node2vec+,0.01
88.70268708465761,87.03739370487746,ProductLite,Node2vec+,0.01
88.32707310026005,86.94430339852573,ProductLite,Node2vec+,0.01
89.07830106905519,86.68049889400545,ProductLite,Node2vec+,0.01
88.52932678416643,87.13165128779788,ProductLite,Node2vec+,0.01
88.904940768564,87.05169284284372,ProductLite,Node2vec+,0.01
88.52932678416643,86.90053052720046,ProductLite,Node2vec+,0.01
88.09592603293845,86.97815441901727,ProductLite,Node2vec+,0.01
88.8182606183184,86.85004581560533,ProductLite,Node2vec+,0.01
88.44264663392083,86.85938402815471,ProductLite,Node2vec+,0.01
88.9627275353944,86.94780522823176,ProductLite,Node2vec+,0.01
88.904940768564,86.92300060114744,ProductLite,Node2vec+,0.01
88.18260618318405,86.95218251536427,ProductLite,Node2vec+,0.01
89.19387460271598,86.80481384856921,ProductLite,Node2vec+,0.01
88.78936723490321,86.97115075960524,ProductLite,Node2vec+,0.01
88.00924588269287,86.97669532330643,ProductLite,Node2vec+,0.01
88.52932678416643,87.02280274776905,ProductLite,Node2vec+,0.01
88.21149956659924,87.08437658676658,ProductLite,Node2vec+,0.01
89.07830106905519,86.97990533387028,ProductLite,Node2vec+,0.01
88.7315804680728,87.03856098144614,ProductLite,Node2vec+,0.01
89.22276798613117,87.11530941583644,ProductLite,Node2vec+,0.01
88.84715400173361,86.89323504864626,ProductLite,Node2vec+,0.01
88.29817971684484,86.79401654030899,ProductLite,Node2vec+,0.01
89.04940768563999,86.89119231465106,ProductLite,Node2vec+,0.01
88.35596648367525,87.08350112934008,ProductLite,Node2vec+,0.01
88.03813926610806,86.97961351472811,ProductLite,Node2vec+,0.01
88.47154001733603,87.11122394784609,ProductLite,Node2vec+,0.01
88.06703264952326,87.05665376826059,ProductLite,Node2vec+,0.01
88.9627275353944,86.89819597406311,ProductLite,Node2vec+,0.01
88.47154001733603,86.68254162800064,ProductLite,Node2vec+,0.01
88.61600693441201,86.96093708962933,ProductLite,Node2vec+,0.01
89.04940768563999,86.9825317061498,ProductLite,Node2vec+,0.01
88.12481941635365,86.84129124134027,ProductLite,Node2vec+,0.01
89.16498121930077,86.6448969586609,ProductLite,Node2vec+,0.01
88.38485986709044,86.9685243873257,ProductLite,Node2vec+,0.01
88.58711355099682,87.14390769176894,ProductLite,Node2vec+,0.01
88.61600693441201,86.90519963347516,ProductLite,Node2vec+,0.01
87.89367234903207,86.99624720583171,ProductLite,Node2vec+,0.01
88.904940768564,86.87105679384145,ProductLite,Node2vec+,0.01
89.10719445247038,86.92037422886791,ProductLite,Node2vec+,0.01
89.13608783588558,86.9927453761257,ProductLite,Node2vec+,0.01
88.38485986709044,86.9714425787474,ProductLite,Node2vec+,0.01
88.09592603293845,87.01171362036663,ProductLite,Node2vec+,0.01
89.51170182028315,86.74732547756201,ProductLite,Node2vec+,0.01
88.84715400173361,87.07299564022202,ProductLite,Node2vec+,0.01
88.78936723490321,87.12085397953764,ProductLite,Node2vec+,0.01
88.35596648367525,86.99041082298834,ProductLite,Node2vec+,0.01
87.95145911586246,86.93671610082934,ProductLite,Node2vec+,0.01
89.04940768563999,86.86084312386555,ProductLite,Node2vec+,0.01
88.32707310026005,86.95831071734982,ProductLite,Node2vec+,0.01
89.07830106905519,86.91920695229925,ProductLite,Node2vec+,0.01
89.68506212077433,86.99128628041485,ProductLite,Node2vec+,0.01
87.5469517480497,86.88243774038602,ProductLite,Node2vec+,0.01
89.36723490320716,86.78030104062707,ProductLite,Node2vec+,0.01
88.61600693441201,87.14974407461233,ProductLite,Node2vec+,0.01
88.26928633342965,87.05636194911841,ProductLite,Node2vec+,0.01
87.77809881537128,86.91541330345105,ProductLite,Node2vec+,0.01
87.22912453048252,85.82576062659406,ProductLite,Node2vec+,0.05
88.26928633342965,85.71078388457968,ProductLite,Node2vec+,0.05
87.37359144755851,85.64570821587613,ProductLite,Node2vec+,0.05
87.80699219878649,85.69502565090261,ProductLite,Node2vec+,0.05
87.83588558220168,85.49571317680154,ProductLite,Node2vec+,0.05
87.57584513146489,85.47149218800156,ProductLite,Node2vec+,0.05
88.52932678416643,85.56487431349547,ProductLite,Node2vec+,0.05
87.28691129731291,85.76943953215556,ProductLite,Node2vec+,0.05
87.46027159780411,85.80679238235311,ProductLite,Node2vec+,0.05
88.21149956659924,85.71049206543752,ProductLite,Node2vec+,0.05
87.34469806414332,85.67810014065682,ProductLite,Node2vec+,0.05
87.95145911586246,85.60660445082556,ProductLite,Node2vec+,0.05
87.95145911586246,85.733837596811,ProductLite,Node2vec+,0.05
88.21149956659924,85.73442123509534,ProductLite,Node2vec+,0.05
87.60473851488008,85.6792674172255,ProductLite,Node2vec+,0.05
87.25801791389772,85.55611973923043,ProductLite,Node2vec+,0.05
88.64490031782721,85.55728701579909,ProductLite,Node2vec+,0.05
87.5469517480497,85.85348344510007,ProductLite,Node2vec+,0.05
87.46027159780411,85.74375944764473,ProductLite,Node2vec+,0.05
87.86477896561688,85.5424042395485,ProductLite,Node2vec+,0.05
86.96908407974574,85.69852748060862,ProductLite,Node2vec+,0.05
88.21149956659924,85.59201349371713,ProductLite,Node2vec+,0.05
87.74920543195609,85.59172167457496,ProductLite,Node2vec+,0.05
88.18260618318405,85.7662295215917,ProductLite,Node2vec+,0.05
87.4313782143889,85.69794384232428,ProductLite,Node2vec+,0.05
87.34469806414332,85.4212992955486,ProductLite,Node2vec+,0.05
88.61600693441201,85.5368596758473,ProductLite,Node2vec+,0.05
87.34469806414332,85.71195116114836,ProductLite,Node2vec+,0.05
87.4891649812193,85.77410863843025,ProductLite,Node2vec+,0.05
87.60473851488008,85.47178400714374,ProductLite,Node2vec+,0.05
86.21785611095059,85.77761046813627,ProductLite,Node2vec+,0.05
88.32707310026005,85.71020024629536,ProductLite,Node2vec+,0.05
87.11355099682173,85.55232609038222,ProductLite,Node2vec+,0.05
87.98035249927767,85.86836622135066,ProductLite,Node2vec+,0.05
88.29817971684484,85.69823566146646,ProductLite,Node2vec+,0.05
87.86477896561688,85.46244579459434,ProductLite,Node2vec+,0.05
88.29817971684484,85.58705256830027,ProductLite,Node2vec+,0.05
87.74920543195609,85.69940293803512,ProductLite,Node2vec+,0.05
87.57584513146489,85.80679238235311,ProductLite,Node2vec+,0.05
87.74920543195609,85.66584373668576,ProductLite,Node2vec+,0.05
86.96908407974574,85.81583877576034,ProductLite,Node2vec+,0.05
87.74920543195609,85.68131015122069,ProductLite,Node2vec+,0.05
87.83588558220168,85.68568743835321,ProductLite,Node2vec+,0.05
88.64490031782721,85.7939523400977,ProductLite,Node2vec+,0.05
87.83588558220168,85.6912320020544,ProductLite,Node2vec+,0.05
87.17133776365212,85.324998978633,ProductLite,Node2vec+,0.05
88.52932678416643,85.49600499594371,ProductLite,Node2vec+,0.05
87.72031204854088,85.79599507409287,ProductLite,Node2vec+,0.05
88.03813926610806,85.82780336058924,ProductLite,Node2vec+,0.05
87.4313782143889,85.80299873350492,ProductLite,Node2vec+,0.05
86.96908407974574,85.6839365235002,ProductLite,Node2vec+,0.05
88.64490031782721,85.59755805741833,ProductLite,Node2vec+,0.05
87.5180583646345,85.70640659744717,ProductLite,Node2vec+,0.05
88.32707310026005,85.79278506352904,ProductLite,Node2vec+,0.05
87.08465761340653,85.65300369443034,ProductLite,Node2vec+,0.05
87.60473851488008,85.4776203899871,ProductLite,Node2vec+,0.05
87.89367234903207,85.54969971810272,ProductLite,Node2vec+,0.05
87.80699219878649,85.73967397965437,ProductLite,Node2vec+,0.05
87.5469517480497,85.82897063715792,ProductLite,Node2vec+,0.05
87.5469517480497,85.6191526739388,ProductLite,Node2vec+,0.05
87.14244438023692,85.62061176964964,ProductLite,Node2vec+,0.05
88.38485986709044,85.71428571428571,ProductLite,Node2vec+,0.05
87.66252528171049,85.54911607981838,ProductLite,Node2vec+,0.05
87.63363189829529,85.72625029911462,ProductLite,Node2vec+,0.05
87.89367234903207,85.70290476774115,ProductLite,Node2vec+,0.05
87.25801791389772,85.68452016178453,ProductLite,Node2vec+,0.05
88.44264663392083,85.47265946457023,ProductLite,Node2vec+,0.05
87.60473851488008,85.79511961666637,ProductLite,Node2vec+,0.05
87.4024848309737,85.82663608402056,ProductLite,Node2vec+,0.05
87.89367234903207,85.58938712143762,ProductLite,Node2vec+,0.05
86.70904362900896,85.68539561921104,ProductLite,Node2vec+,0.05
87.86477896561688,85.60397807854604,ProductLite,Node2vec+,0.05
88.15371279976885,85.52722964415574,ProductLite,Node2vec+,0.05
88.09592603293845,85.78928323382301,ProductLite,Node2vec+,0.05
87.66252528171049,85.74755309649291,ProductLite,Node2vec+,0.05
87.02687084657613,85.48433223025698,ProductLite,Node2vec+,0.05
88.26928633342965,85.40612470015583,ProductLite,Node2vec+,0.05
87.34469806414332,85.76739679816036,ProductLite,Node2vec+,0.05
87.20023114706731,85.72508302254595,ProductLite,Node2vec+,0.05
87.74920543195609,85.56166430293162,ProductLite,Node2vec+,0.05
87.11355099682173,85.66934556639177,ProductLite,Node2vec+,0.05
88.76047385148802,85.78519776583265,ProductLite,Node2vec+,0.05
87.05576422999133,85.62878270563036,ProductLite,Node2vec+,0.05
88.06703264952326,85.68743835320622,ProductLite,Node2vec+,0.05
87.31580468072812,85.76856407472904,ProductLite,Node2vec+,0.05
87.60473851488008,85.64862640729781,ProductLite,Node2vec+,0.05
88.84715400173361,85.48433223025698,ProductLite,Node2vec+,0.05
87.95145911586246,85.8937544867193,ProductLite,Node2vec+,0.05
87.20023114706731,85.73325395852666,ProductLite,Node2vec+,0.05
87.28691129731291,85.71516117171221,ProductLite,Node2vec+,0.05
87.28691129731291,85.707865693158,ProductLite,Node2vec+,0.05
87.34469806414332,85.70319658688331,ProductLite,Node2vec+,0.05
86.91129731291535,85.44026753978955,ProductLite,Node2vec+,0.05
87.46027159780411,85.73704760737485,ProductLite,Node2vec+,0.05
