Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
0.5639975683484202,1.1500273361158455,0.28810252790320046,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.751589108083845,0.41429088401506137,0.35978724139024354,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.6601387997973083,-0.1757448202203504,0.8250790802621576,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.5348789770867785,0.3264922148029794,0.7808480108083047,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.8457605624625298,0.2972237838778511,0.7047926540808573,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
1.6232678509368534,-0.10453216144428731,1.733551813079405,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.6431195794863827,0.6156753392864228,0.7163404536677054,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.624514144417009,0.3647813121378628,0.21752834453303824,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.5205832602986182,-0.16408062702566636,1.3120034487188388,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.6734915869235112,0.5007388953438188,0.3133071628829477,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
1.0322649064311358,0.40530949847658815,0.5740900484357148,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.5229938582762421,0.5507154180156786,0.49651982699087677,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
1.6352615246461457,1.0693899372638684,0.03563266627860959,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
1.2183877113339583,-0.14156034600681902,0.570795127302487,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
1.4508834496632725,-0.1620218271713534,0.5790579533387159,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
1.492017038515814,-0.02977940667505837,1.5056893555755102,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.6100272475961739,-0.06661423174096251,0.12893248107147748,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.6100272475961739,-0.06661423174096251,0.12893248107147748,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.7428908505286006,0.82475310004927,3.214039227659223,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.6878567945151653,-0.26767985245408077,-0.03278130458203778,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.5940658266418437,-0.003914551052894353,0.5076497494225174,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
1.4592205457187697,0.24168689045025923,-0.03446248784723901,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.7926597171568315,0.7787081225931634,0.3324521857928291,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.5266386079017338,1.0951164445808288,0.29842061750865023,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.5541935439857504,0.14038747115033243,0.12069928081822853,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.593912752687376,1.0899377479087005,0.4189435797718216,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.46809301290843686,0.04766196161958402,0.05651944940708033,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
1.121383169692329,-0.24964437792048283,0.792215586012837,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.41991666375757214,-0.10515489137652531,0.2732924939402954,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
1.1097057233973953,-0.06799357595790043,1.0607593145039507,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
1.896685354533236,-0.012979593751110543,0.7741170501880744,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.4780137418118514,1.3235967832215456,-0.000708948521697496,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.45975931294568717,0.048603326251825285,0.571534126788648,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.43748952845913075,-0.26794226862004256,1.6647622037739074,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.6640666158237112,0.41636134452538937,0.74259658912379,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.7658608462306682,0.33423643500413736,0.618935986277134,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.6362603847540658,0.6633556618027173,0.6067791432898486,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
