Training score,Testing score,Task,Network,Method,q
0.2727272727272727,0.27645051194539255,level,K3L2c1,Node2vec+,1.0
0.2727272727272727,0.2745762711864406,level,K3L2c1,Node2vec+,1.0
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec+,1.0
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec+,1.0
0.2727272727272727,0.27318718381112983,level,K3L2c1,Node2vec+,1.0
0.2727272727272727,0.2807625649913345,level,K3L2c1,Node2vec+,1.0
0.27692307692307694,0.2839411486495124,level,K3L2c1,Node2vec+,1.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,1.0,cluster,K3L2c1,Node2vec+,50.0
1.0,0.9918031750047436,level,K3L2c1,Node2vec+,50.0
1.0,0.9889110027896678,level,K3L2c1,Node2vec+,50.0
1.0,0.9862039803862631,level,K3L2c1,Node2vec+,50.0
1.0,0.9917354317854272,level,K3L2c1,Node2vec+,50.0
1.0,0.9678571428571429,level,K3L2c1,Node2vec+,50.0
1.0,0.9918690005646528,level,K3L2c1,Node2vec+,50.0
1.0,0.994557548881274,level,K3L2c1,Node2vec+,50.0
1.0,0.9972677250015812,level,K3L2c1,Node2vec+,50.0
1.0,0.9834016393442623,level,K3L2c1,Node2vec+,50.0
1.0,0.9889110027896678,level,K3L2c1,Node2vec+,50.0
1e+00,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,0.9971500197915293,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,1.0,cluster,K3L2c1,Node2vec+,5.0
1.0,0.9833323687155149,level,K3L2c1,Node2vec+,5.0
1.0,0.971958398744113,level,K3L2c1,Node2vec+,5.0
1.0,0.9362464169683203,level,K3L2c1,Node2vec+,5.0
1.0,0.9713497453310697,level,K3L2c1,Node2vec+,5.0
1.0,0.9360147766522268,level,K3L2c1,Node2vec+,5.0
1.0,0.9400695762175838,level,K3L2c1,Node2vec+,5.0
0.974331550802139,0.9569809915659139,level,K3L2c1,Node2vec+,5.0
1.0,0.9832601394988374,level,K3L2c1,Node2vec+,5.0
1.0,0.9916657020488483,level,K3L2c1,Node2vec+,5.0
0.974331550802139,0.9239733226623983,level,K3L2c1,Node2vec+,5.0
0.8791208791208791,0.7436438052733403,cluster,K3L2c1,Node2vec,0.01
0.8109890109890111,0.7486111140639357,cluster,K3L2c1,Node2vec,0.01
0.8901098901098901,0.746684200320214,cluster,K3L2c1,Node2vec,0.01
0.8133699633699633,0.7090419010685246,cluster,K3L2c1,Node2vec,0.01
0.8373626373626374,0.7538679879180774,cluster,K3L2c1,Node2vec,0.01
0.9164835164835166,0.6877617690004008,cluster,K3L2c1,Node2vec,0.01
0.8875457875457875,0.7156996260444537,cluster,K3L2c1,Node2vec,0.01
0.832967032967033,0.7357671663506244,cluster,K3L2c1,Node2vec,0.01
0.9395604395604397,0.7657511766018694,cluster,K3L2c1,Node2vec,0.01
0.8260073260073261,0.6692683373804809,cluster,K3L2c1,Node2vec,0.01
0.40246212121212116,0.3264957264957265,level,K3L2c1,Node2vec,0.01
0.2727272727272727,0.2897129056767611,level,K3L2c1,Node2vec,0.01
0.2727272727272727,0.32774731244647265,level,K3L2c1,Node2vec,0.01
0.2727272727272727,0.2813172651119428,level,K3L2c1,Node2vec,0.01
0.34358974358974365,0.3560580866866201,level,K3L2c1,Node2vec,0.01
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.01
0.34358974358974365,0.30558825375898546,level,K3L2c1,Node2vec,0.01
0.2727272727272727,0.2897129056767611,level,K3L2c1,Node2vec,0.01
0.2727272727272727,0.28998469099991947,level,K3L2c1,Node2vec,0.01
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.01
0.8010989010989011,0.6695662774161573,cluster,K3L2c1,Node2vec,0.05
0.8291208791208793,0.691684555736151,cluster,K3L2c1,Node2vec,0.05
0.7710622710622712,0.6521404824131998,cluster,K3L2c1,Node2vec,0.05
0.7796703296703297,0.6538841328553164,cluster,K3L2c1,Node2vec,0.05
0.806043956043956,0.705197027552582,cluster,K3L2c1,Node2vec,0.05
0.7804029304029304,0.6621090004731947,cluster,K3L2c1,Node2vec,0.05
0.7483516483516485,0.6478097145778392,cluster,K3L2c1,Node2vec,0.05
0.9472527472527473,0.7032743141381373,cluster,K3L2c1,Node2vec,0.05
0.782967032967033,0.6986813281487906,cluster,K3L2c1,Node2vec,0.05
0.7483516483516482,0.6647211060291975,cluster,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2680295286768881,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.26182237600922725,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.05
0.7902930402930403,0.6690558820401118,cluster,K3L2c1,Node2vec,0.1
0.9395604395604397,0.7429832841679237,cluster,K3L2c1,Node2vec,0.1
0.7824175824175824,0.6827661368555423,cluster,K3L2c1,Node2vec,0.1
0.863919413919414,0.6745207208355849,cluster,K3L2c1,Node2vec,0.1
0.7225274725274725,0.709890542114899,cluster,K3L2c1,Node2vec,0.1
0.8263736263736264,0.7595728136145836,cluster,K3L2c1,Node2vec,0.1
0.8186813186813188,0.6701240668264284,cluster,K3L2c1,Node2vec,0.1
0.8604395604395605,0.686683087307329,cluster,K3L2c1,Node2vec,0.1
0.8324175824175823,0.7096255185975242,cluster,K3L2c1,Node2vec,0.1
0.7747252747252747,0.7252626165866599,cluster,K3L2c1,Node2vec,0.1
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.25828970331588136,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.25971014492753625,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.1
0.2727272727272727,0.2720629567172569,level,K3L2c1,Node2vec,0.1
0.26666666666666666,0.2727272727272727,level,K3L2c1,Node2vec,0.1
0.886813186813187,0.7465885860619033,cluster,K3L2c1,Node2vec,0.5
0.8527472527472527,0.7554044423117804,cluster,K3L2c1,Node2vec,0.5
0.8554945054945056,0.7387371087039398,cluster,K3L2c1,Node2vec,0.5
0.8868131868131868,0.8112573301940059,cluster,K3L2c1,Node2vec,0.5
0.886813186813187,0.7565631056065125,cluster,K3L2c1,Node2vec,0.5
0.9131868131868133,0.8192617782709773,cluster,K3L2c1,Node2vec,0.5
0.9472527472527473,0.7519383370832055,cluster,K3L2c1,Node2vec,0.5
0.9131868131868133,0.8191872541014698,cluster,K3L2c1,Node2vec,0.5
0.8664835164835165,0.7816094515779739,cluster,K3L2c1,Node2vec,0.5
0.771978021978022,0.7581398117255114,cluster,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,0.5
0.2727272727272727,0.2720629567172569,level,K3L2c1,Node2vec,0.5
0.9736263736263737,0.9182290299382009,cluster,K3L2c1,Node2vec,100.0
0.9736263736263737,0.943358689534474,cluster,K3L2c1,Node2vec,100.0
0.9395604395604397,0.9198252212679034,cluster,K3L2c1,Node2vec,100.0
0.9736263736263737,0.8972501659065967,cluster,K3L2c1,Node2vec,100.0
1.0,0.9187935339495864,cluster,K3L2c1,Node2vec,100.0
0.9472527472527473,0.8954084328454253,cluster,K3L2c1,Node2vec,100.0
0.9736263736263737,0.924937123832749,cluster,K3L2c1,Node2vec,100.0
0.9472527472527473,0.9128365302887739,cluster,K3L2c1,Node2vec,100.0
1.0,0.9344503499845676,cluster,K3L2c1,Node2vec,100.0
0.9736263736263737,0.9024964559495382,cluster,K3L2c1,Node2vec,100.0
0.5125448028673835,0.30948256857619755,level,K3L2c1,Node2vec,100.0
0.2857142857142857,0.2988468758380263,level,K3L2c1,Node2vec,100.0
0.2857142857142857,0.3238577727741815,level,K3L2c1,Node2vec,100.0
0.3416046319272126,0.2984514971742255,level,K3L2c1,Node2vec,100.0
0.2857142857142857,0.3158902691511387,level,K3L2c1,Node2vec,100.0
0.3416046319272126,0.32049689440993784,level,K3L2c1,Node2vec,100.0
0.2857142857142857,0.2918871252204585,level,K3L2c1,Node2vec,100.0
0.28124999999999994,0.2907113462669018,level,K3L2c1,Node2vec,100.0
0.2857142857142857,0.3095238095238095,level,K3L2c1,Node2vec,100.0
0.2857142857142857,0.354030910609858,level,K3L2c1,Node2vec,100.0
0.9736263736263737,0.8978676119421803,cluster,K3L2c1,Node2vec,10.0
0.9736263736263737,0.9031222718380832,cluster,K3L2c1,Node2vec,10.0
1.0,0.9233805538723571,cluster,K3L2c1,Node2vec,10.0
1.0,0.9107744150994275,cluster,K3L2c1,Node2vec,10.0
0.9736263736263736,0.8824434108472221,cluster,K3L2c1,Node2vec,10.0
0.9736263736263737,0.918125389368901,cluster,K3L2c1,Node2vec,10.0
0.9395604395604397,0.8527736712697837,cluster,K3L2c1,Node2vec,10.0
0.9131868131868133,0.8606302809036406,cluster,K3L2c1,Node2vec,10.0
0.9208791208791209,0.885998078610952,cluster,K3L2c1,Node2vec,10.0
1.0,0.9500365335324984,cluster,K3L2c1,Node2vec,10.0
0.2857142857142857,0.30490748189863237,level,K3L2c1,Node2vec,10.0
0.4523809523809524,0.29160632877447035,level,K3L2c1,Node2vec,10.0
0.2857142857142857,0.3095238095238095,level,K3L2c1,Node2vec,10.0
0.2857142857142857,0.2988468758380263,level,K3L2c1,Node2vec,10.0
0.3416046319272126,0.2988468758380263,level,K3L2c1,Node2vec,10.0
0.3416046319272126,0.2857142857142857,level,K3L2c1,Node2vec,10.0
0.4523809523809524,0.3561231864896786,level,K3L2c1,Node2vec,10.0
0.28124999999999994,0.2852112676056338,level,K3L2c1,Node2vec,10.0
0.3317720530835285,0.2980599647266314,level,K3L2c1,Node2vec,10.0
0.2857142857142857,0.3032331049648989,level,K3L2c1,Node2vec,10.0
0.9736263736263736,0.8183069673393046,cluster,K3L2c1,Node2vec,1.0
0.9395604395604397,0.8067380920131235,cluster,K3L2c1,Node2vec,1.0
0.8664835164835165,0.8330617423095804,cluster,K3L2c1,Node2vec,1.0
0.9472527472527473,0.7976420058142034,cluster,K3L2c1,Node2vec,1.0
0.8527472527472528,0.8414995780598777,cluster,K3L2c1,Node2vec,1.0
0.9395604395604397,0.8055902567321206,cluster,K3L2c1,Node2vec,1.0
0.9736263736263737,0.838037141362396,cluster,K3L2c1,Node2vec,1.0
0.9131868131868133,0.8404054467632389,cluster,K3L2c1,Node2vec,1.0
0.920879120879121,0.8136759724243962,cluster,K3L2c1,Node2vec,1.0
0.9736263736263736,0.8610135255648694,cluster,K3L2c1,Node2vec,1.0
0.27692307692307694,0.2755102040816327,level,K3L2c1,Node2vec,1.0
0.2727272727272727,0.27318718381112983,level,K3L2c1,Node2vec,1.0
0.27692307692307694,0.27645051194539255,level,K3L2c1,Node2vec,1.0
0.2727272727272727,0.27318718381112983,level,K3L2c1,Node2vec,1.0
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec,1.0
0.4435897435897436,0.2755102040816327,level,K3L2c1,Node2vec,1.0
0.2727272727272727,0.27318718381112983,level,K3L2c1,Node2vec,1.0
0.2727272727272727,0.27411167512690354,level,K3L2c1,Node2vec,1.0
0.28124999999999994,0.28321678321678323,level,K3L2c1,Node2vec,1.0
0.2727272727272727,0.27364864864864863,level,K3L2c1,Node2vec,1.0
1.0,0.9107323643831111,cluster,K3L2c1,Node2vec,50.0
0.915934065934066,0.8967007782049164,cluster,K3L2c1,Node2vec,50.0
0.9395604395604397,0.9250357547193657,cluster,K3L2c1,Node2vec,50.0
1.0,0.9284480916308678,cluster,K3L2c1,Node2vec,50.0
1.0,0.924823004838058,cluster,K3L2c1,Node2vec,50.0
0.9472527472527473,0.9454452393302601,cluster,K3L2c1,Node2vec,50.0
1.0,0.9368707931447348,cluster,K3L2c1,Node2vec,50.0
0.9472527472527473,0.8992420918464477,cluster,K3L2c1,Node2vec,50.0
0.9736263736263737,0.9252011106483246,cluster,K3L2c1,Node2vec,50.0
0.9736263736263737,0.9061717080345966,cluster,K3L2c1,Node2vec,50.0
0.3416046319272126,0.2914417972006494,level,K3L2c1,Node2vec,50.0
0.2857142857142857,0.33578023153003106,level,K3L2c1,Node2vec,50.0
0.28124999999999994,0.3238577727741815,level,K3L2c1,Node2vec,50.0
0.3416046319272126,0.32986542443064176,level,K3L2c1,Node2vec,50.0
0.3416046319272126,0.3052520605712095,level,K3L2c1,Node2vec,50.0
0.3416046319272126,0.2988468758380263,level,K3L2c1,Node2vec,50.0
0.3416046319272126,0.33566252587991713,level,K3L2c1,Node2vec,50.0
0.3416046319272126,0.3177547528317534,level,K3L2c1,Node2vec,50.0
0.4479166666666667,0.31575433911882506,level,K3L2c1,Node2vec,50.0
0.4523809523809524,0.33557777518701143,level,K3L2c1,Node2vec,50.0
1e+00,0.8929031306304345,cluster,K3L2c1,Node2vec,5.0
0.9736263736263737,0.8825271460514402,cluster,K3L2c1,Node2vec,5.0
0.9736263736263737,0.9006730681212596,cluster,K3L2c1,Node2vec,5.0
0.9472527472527473,0.895089104441263,cluster,K3L2c1,Node2vec,5.0
0.9736263736263737,0.9057071955164187,cluster,K3L2c1,Node2vec,5.0
0.9472527472527473,0.8752052224253222,cluster,K3L2c1,Node2vec,5.0
0.9472527472527473,0.8920697673707938,cluster,K3L2c1,Node2vec,5.0
0.920879120879121,0.89666232582471,cluster,K3L2c1,Node2vec,5.0
0.9472527472527473,0.8844031389811486,cluster,K3L2c1,Node2vec,5.0
0.9395604395604397,0.8942186026111667,cluster,K3L2c1,Node2vec,5.0
0.3412698412698412,0.30423280423280424,level,K3L2c1,Node2vec,5.0
0.2857142857142857,0.3045677051252958,level,K3L2c1,Node2vec,5.0
0.2857142857142857,0.28371278458844135,level,K3L2c1,Node2vec,5.0
0.4479166666666667,0.33018753781004234,level,K3L2c1,Node2vec,5.0
0.3416046319272126,0.3040700274742828,level,K3L2c1,Node2vec,5.0
0.2857142857142857,0.30490748189863237,level,K3L2c1,Node2vec,5.0
0.4479166666666667,0.2914417972006494,level,K3L2c1,Node2vec,5.0
0.3416046319272126,0.29767232679566497,level,K3L2c1,Node2vec,5.0
0.39032006245121,0.32970572599055575,level,K3L2c1,Node2vec,5.0
0.28124999999999994,0.3153100995912582,level,K3L2c1,Node2vec,5.0
0.9736263736263737,0.970201531929892,cluster,K3L2c2,Node2vec+,0.01
1.0,0.9711547585541395,cluster,K3L2c2,Node2vec+,0.01
1.0,0.9798676436685485,cluster,K3L2c2,Node2vec+,0.01
0.9736263736263737,0.9856292985593763,cluster,K3L2c2,Node2vec+,0.01
1.0,0.9857265697092791,cluster,K3L2c2,Node2vec+,0.01
0.9736263736263737,0.9883516483516482,cluster,K3L2c2,Node2vec+,0.01
1.0,0.9826017378847568,cluster,K3L2c2,Node2vec+,0.01
0.9736263736263737,0.9827326519634213,cluster,K3L2c2,Node2vec+,0.01
1.0,0.988479278767847,cluster,K3L2c2,Node2vec+,0.01
0.9736263736263737,0.9825970850415502,cluster,K3L2c2,Node2vec+,0.01
0.6190476190476191,0.7047421573947302,level,K3L2c2,Node2vec+,0.01
0.6095238095238096,0.52878889897743,level,K3L2c2,Node2vec+,0.01
0.6728597449908925,0.7198021103225564,level,K3L2c2,Node2vec+,0.01
0.6728597449908925,0.5643127364438839,level,K3L2c2,Node2vec+,0.01
0.6728597449908925,0.5278455542463519,level,K3L2c2,Node2vec+,0.01
0.7622276029055689,0.4842524509803921,level,K3L2c2,Node2vec+,0.01
0.6903225806451614,0.6012510314835896,level,K3L2c2,Node2vec+,0.01
0.6903225806451614,0.6168769843188447,level,K3L2c2,Node2vec+,0.01
0.7999999999999999,0.5643127364438839,level,K3L2c2,Node2vec+,0.01
0.6903225806451614,0.6576055523423944,level,K3L2c2,Node2vec+,0.01
