Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
1.1375788239091285,1.5911664226934978,1.1628052276919583,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
1.01542587735039,0.2261921109990789,0.7087496775951407,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
1.01542587735039,0.2261921109990789,0.7087496775951407,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.9292757141743541,0.40043457790982967,-0.1890891765861808,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.8197719634485661,0.9410186623478806,0.530664788520485,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.5370524806400627,0.2156364271214901,0.005785582883934066,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.5758266036608672,0.7423113954017333,0.8293712876416179,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
1.6785379561933862,0.15790806759198525,0.16272448811636844,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.9164971390968121,0.7007792036666634,0.9533614384045628,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.6136394937969014,0.9320304818375312,0.5323989231035495,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.7101395027880092,-0.1349815604170741,1.9345846674443081,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.4670522926114016,0.3305599127857338,1.298078437254171,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
1.014383264660674,0.33019214315964257,0.7364488068498938,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.5771994428696042,0.6374520344839493,2.8740017805873217,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.5854893420309004,0.9570422781075754,1.1525236547087983,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.6778022253460528,1.3340284685270314,0.6322165957570993,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.6869272615509687,0.9125904708297998,1.1895989235624558,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.7283051269306346,0.509574806389903,0.187448901982433,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.5593856031406412,-0.058196783228130385,1.462281560300965,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.86653001021045,0.4143603131802086,0.4583708528334175,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.72922233028003,0.7457081527801569,0.5441193313364732,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
1.1726919830483087,1.3723134424597192,0.8002896238892467,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
1.721702083711515,0.43914256386536904,0.4808667274152734,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.8139978260441036,0.39310207911688516,0.0004422584765846895,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
1.06742967526107,0.5952103336337373,0.21463582020107794,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
1.112575242641307,1.3376659472063968,0.7387309964123883,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.6763049761143716,0.3449289709677879,0.3787624669689339,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.6763049761143716,0.3449289709677879,0.3787624669689339,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.8527809484926363,0.7022116312814752,0.5584512522680576,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.816725741648868,0.28768610395326155,-0.1170369097078401,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.1,1.0
0.9329848162429815,0.6651570872148274,0.4298175207968582,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.855875233798919,0.4057596017866471,0.8071374061858819,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.4535741728132587,0.17440754336173983,0.04035594985157762,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.1384881661256843,1.6079901600303461,0.9479018717460436,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.6643498800079818,0.43696536631104627,1.2128832052819416,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.8491279908224292,0.16483653326274136,2.828819425962962,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.5726895511829114,0.013597228261482184,1.0802054597712616,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.8322779519097374,0.10854221667811989,0.45465543044434775,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.7662726158749213,1.1659137051405501,2.7948760206999093,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.7136065613150305,1.3407962470086998,1.5392827671182037,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
